Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25444305,Vinterstängt,Jørn Lier Horst,"Horst, Jørn Lier",Cajsa Mitchell,"=""""","=""9789174614039""",4,3.70,Lind & Co,Hardcover,381,2015,2011,2020/02/14,2020/02/13,"2020, fiction","2020 (#19), fiction (#100)",read,,,,1,0
41967302,"Bottenskrap (William Wisting, #1)",Jørn Lier Horst,"Horst, Jørn Lier",Cajsa Mitchell,"=""""","=""9789177796633""",4,3.77,Lind & Co,Mass Market Paperback,352,2018,2010,2020/02/12,2020/02/10,"2020, fiction","2020 (#18), fiction (#99)",read,,,,1,0
43542351,"Stock Trading : Trading: The Complete Guide To Investing In Stocks, Options And Forex Following Proven Methods",Marcus Baumann,"Baumann, Marcus",,"=""""","=""""",3,3.33,,Kindle Edition,43,2019,,2020/02/06,2020/02/05,"2020, non-fiction, övrigt","2020 (#17), non-fiction (#303), övrigt (#4)",read,,,,1,0
6459148,The Art of Literature and the Art of Controversy,Arthur Schopenhauer,"Schopenhauer, Arthur",Thomas Bailey Saunders,"=""1420931113""","=""9781420931112""",2,4.03,Digireads.com,Paperback,112,2008,2008,2020/02/05,2020/02/04,"2020, non-fiction, övrigt","2020 (#16), non-fiction (#302), övrigt (#3)",read,,,,1,0
24933486,Att dö,Christopher Hitchens,"Hitchens, Christopher",,"=""""","=""9789186061913""",4,4.10,Fri Tanke Förlag,Hardcover,125,2014,2012,2020/02/04,2020/02/04,"2020, biography-memoarer, övrigt","2020 (#15), biography-memoarer (#48), övrigt (#2)",read,,,,1,0
34346980,"Ripples in Spacetime: Einstein, Gravitational Waves, and the Future of Astronomy",Govert Schilling,"Schilling, Govert",Martin J. Rees,"=""0674971663""","=""9780674971660""",3,4.19,Belknap Press,Hardcover,345,2017,2017,2020/02/04,2020/01/30,"2020, non-fiction, science-history","2020 (#14), non-fiction (#301), science-history (#170)",read,,,,1,0
171068,Stock Investing for Dummies,Paul Mladjenovic,"Mladjenovic, Paul",Brett Barry,"=""0764599038""","=""9780764599033""",3,3.87,For Dummies,Paperback,336,2005,2002,2020/02/03,2020/02/03,"2020, non-fiction, övrigt","2020 (#13), non-fiction (#300), övrigt (#1)",read,,,,1,0
44180534,How to Justify Torture: Inside the Ticking Bomb Scenario,Alex Adams,"Adams, Alex",,"=""1912248581""","=""9781912248582""",1,3.36,Repeater,Paperback,160,2019,,2020/01/30,2020/01/30,"2020, non-fiction, philosophy-theology","2020 (#12), non-fiction (#299), philosophy-theology (#151)",read,,,,1,0
11976561,"Nattmannen (William Wisting, #5)",Jørn Lier Horst,"Horst, Jørn Lier",,"=""8205396329""","=""9788205396326""",3,3.67,Gyldendal,Paperback,303,2010,2009,2020/01/29,2020/01/28,"2020, fiction","2020 (#11), fiction (#98)",read,,,,1,0
40796176,Infinite Powers: How Calculus Reveals the Secrets of the Universe,Steven H. Strogatz,"Strogatz, Steven H.",,"=""1328879984""","=""9781328879981""",2,4.29,Mariner Books,Hardcover,360,2019,2019,2020/01/26,2020/01/20,"2019, 2020, science-history","2019 (#165), 2020 (#10), science-history (#169)",read,,,,1,0
46197206,"Det innersta rummet (William Wisting, #13)",Jørn Lier Horst,"Horst, Jørn Lier",Marianne Mattsson,"=""""","=""9789146234333""",4,4.00,Wahlström & Widstrand,Hardcover,400,2019,2018,2020/01/26,2020/01/23,"2020, fiction","2020 (#9), fiction (#97)",read,,,,1,0
40805505,Katharinakoden,Jørn Lier Horst,"Horst, Jørn Lier",,"=""""","=""9789146234326""",4,3.94,Wahlström & Widstrand ,Hardcover,399,2018,2017,2020/01/23,2020/01/21,"2020, fiction","2020 (#8), fiction (#96)",read,,,,1,0
13105889,Neuroscience for Dummies,Frank Amthor,"Amthor, Frank",,"=""1118086864""","=""9781118086865""",0,4.02,For Dummies,Paperback,366,2011,2011,2020/01/21,2020/01/08,"2020, non-fiction, science-history","2020 (#7), non-fiction (#298), science-history (#168)",read,,,,1,0
33916169,The Blackwell Companion to Consciousness,Susan Schneider,"Schneider, Susan",Max Velmans,"=""0470674075""","=""9780470674079""",0,4.12,Wiley-Blackwell,Paperback,848,2017,2006,,2019/09/05,"2020, non-fiction, philosophy-theology, delvis-läst","2020 (#6), non-fiction (#297), philosophy-theology (#150), delvis-läst (#13)",delvis-läst,,,,0,0
240592,The Open Society and Its Enemies,Karl Popper,"Popper, Karl",,"=""0415282365""","=""9780415282369""",4,4.23,Routledge,Hardcover,920,2002,1956,2020/01/20,2019/08/20,"2020, non-fiction, philosophy-theology","2020 (#5), non-fiction (#296), philosophy-theology (#149)",read,,,,1,0
44065062,Something Deeply Hidden: Quantum Worlds and the Emergence of Spacetime,Sean Carroll,"Carroll, Sean",,"=""1524743011""","=""9781524743017""",0,4.07,Dutton,Hardcover,347,2019,2019,,2020/01/17,to-read,to-read (#24),to-read,,,,0,0
30890840,Filosofi på 30 sekunder,Barry Loewer,"Loewer, Barry","Julian Baggini, Per Lennart Månsson","=""""","=""9789176170731""",3,3.55,Tukan,Hardcover,,2014,2009,2020/01/14,2019/11/17,"2020, non-fiction, philosophy-theology","2020 (#4), non-fiction (#295), philosophy-theology (#148)",read,,,,1,0
46158728,How to Teach Philosophy to Your Dog: Exploring the Big Questions in Life,Anthony McGowan,"McGowan, Anthony",,"=""164313311X""","=""9781643133119""",4,4.04,Pegasus Books,Hardcover,336,2020,,2020/01/13,2020/01/10,"2020, non-fiction, philosophy-theology","2020 (#3), non-fiction (#294), philosophy-theology (#147)",read,,,,1,0
10260,The Pleasure of Finding Things Out: The Best Short Works of Richard P. Feynman,Jeffrey Robbins,"Robbins, Jeffrey","Richard P. Feynman, Freeman Dyson","=""""","=""""",5,4.24,Basic Books,Paperback,270,2005,1999,2018/02/11,2018/03/03,"non-fiction, science-history, 2018, biography-memoarer","non-fiction (#34), science-history (#12), 2018 (#6), biography-memoarer (#24)",read,,,,4,0
40828142,The Idea of the World: A Multi-Disciplinary Argument for the Mental Nature of Reality,Bernardo Kastrup,"Kastrup, Bernardo",,"=""1785357395""","=""9781785357398""",2,4.31,Iff Books,Paperback,312,2019,2019,2020/01/07,2019/12/17,"2020, läs-igen, non-fiction, philosophy-theology","2020 (#2), läs-igen (#6), non-fiction (#293), philosophy-theology (#146)",read,,,,1,0
36809490,Consciousness: An Introduction,Susan Blackmore,"Blackmore, Susan",,"=""1138801313""","=""9781138801318""",4,4.16,Routledge,Paperback,618,2018,2003,2020/01/06,2019/09/05,"non-fiction, philosophy-theology, science-history, 2020","non-fiction (#292), philosophy-theology (#145), science-history (#167), 2020 (#1)",read,,,,1,0
23944940,The Man Who Stalked Einstein: How Nazi Scientist Philipp Lenard Changed the Course of History,"Bruce J. Hillman, Birgit Ertl-Wagner, and Bernd C. Wagner","Wagner, Bruce J. Hillman, Birgit Ertl-Wagner, and Bernd C.",,"=""1493010018""","=""9781493010011""",3,3.68,Globe Pequot/Lyons Press,Hardcover,228,2014,2015,2019/12/19,2019/12/18,"biography-memoarer, non-fiction, science-history, 2019","biography-memoarer (#47), non-fiction (#291), science-history (#166), 2019 (#164)",read,,,,1,0
